threshold,f1,f2,precision,recall
0.05,0.4266666666666667,0.6349206349206349,0.27586206896551724,0.9411764705882353
0.1,0.48484848484848486,0.6837606837606838,0.32653061224489793,0.9411764705882353
0.15,0.5333333333333333,0.7207207207207207,0.37209302325581395,0.9411764705882353
0.2,0.5423728813559322,0.7272727272727273,0.38095238095238093,0.9411764705882353
0.25,0.5614035087719298,0.7407407407407407,0.4,0.9411764705882353
0.3,0.5925925925925926,0.7619047619047619,0.43243243243243246,0.9411764705882353
0.35,0.6,0.7425742574257426,0.45454545454545453,0.8823529411764706
0.39999999999999997,0.6086956521739131,0.7216494845360825,0.4827586206896552,0.8235294117647058
0.44999999999999996,0.6222222222222222,0.7291666666666666,0.5,0.8235294117647058
0.49999999999999994,0.6511627906976745,0.7446808510638298,0.5384615384615384,0.8235294117647058
0.5499999999999999,0.65,0.7142857142857143,0.5652173913043478,0.7647058823529411
0.6,0.6666666666666666,0.7222222222222222,0.5909090909090909,0.7647058823529411
0.65,0.6857142857142857,0.6976744186046512,0.6666666666666666,0.7058823529411765
0.7,0.5517241379310345,0.5,0.6666666666666666,0.47058823529411764
0.75,0.5185185185185185,0.44871794871794873,0.7,0.4117647058823529
0.7999999999999999,0.5,0.4,0.8571428571428571,0.35294117647058826
0.85,0.43478260869565216,0.33783783783783783,0.8333333333333334,0.29411764705882354
0.9,0.21052631578947367,0.14285714285714285,1.0,0.11764705882352941
0.95,0.0,0.0,0.0,0.0
