held_out_host,n_train,n_test,n_test_positive,balance_test,f1_default_05,f1_optimal,best_threshold,roc_auc,avg_precision,f1_train_05,overfit_gap
NASHUA.dmevals.local,207,69,34,0.4927536231884058,0.43333333333333335,0.6601941743150156,0.2608943089430894,0.4752100840336134,0.58544229036311,0.8681318681318682,0.4347985347985348
NEWYORK.dmevals.local,207,69,34,0.4927536231884058,0.6666666666666666,0.6666666662222221,0.5073648971783835,0.573109243697479,0.6566399286987523,0.8369565217391305,0.17028985507246386
SCRANTON.dmevals.local,207,69,34,0.4927536231884058,0.5660377358490566,0.6896551719286563,0.47339508872363767,0.7063025210084034,0.7584225441584915,0.7515151515151515,0.18547741566609488
UTICA.dmevals.local,207,69,34,0.4927536231884058,0.38235294117647056,0.6601941743150156,0.16166666666666668,0.39831932773109247,0.45762214892355396,0.8792270531400966,0.4968741119636261
