threshold,precision,recall,f1,f2
0.05,0.3918398768283295,0.9922027290448343,0.5618101545253863,0.7594747836466726
0.060000000000000005,0.4007905138339921,0.9883040935672515,0.5703037120359955,0.7642447995176365
0.07,0.4107142857142857,0.98635477582846,0.5799426934097421,0.7704019488428745
0.08000000000000002,0.42449664429530204,0.98635477582846,0.5935483870967742,0.779901356350185
0.09000000000000001,0.44038294168842473,0.98635477582846,0.6089049338146811,0.7903780068728522
0.1,0.4447391688770999,0.9805068226120858,0.6119221411192214,0.7901350926798618
0.11000000000000001,0.4550408719346049,0.9766081871345029,0.620817843866171,0.7944814462416746
0.12000000000000001,0.4708646616541353,0.9766081871345029,0.6353836398224477,0.8039152759948652
0.13,0.4859359844810863,0.9766081871345029,0.6489637305699482,0.8125202724618877
0.14,0.4921104536489152,0.9727095516569201,0.6535690897184021,0.8137638617090672
0.15000000000000002,0.5060851926977687,0.9727095516569201,0.6657771847898599,0.8212639894667545
0.16000000000000003,0.5176715176715176,0.9707602339181286,0.6752542372881356,0.8261446582614466
0.17000000000000004,0.5294117647058824,0.9649122807017544,0.6837016574585635,0.8285905590893874
0.18000000000000005,0.5368763557483731,0.9649122807017544,0.6898954703832753,0.832212508406187
0.19,0.5482062780269058,0.9532163742690059,0.696085409252669,0.8305027173913043
0.2,0.5589919816723941,0.9512670565302144,0.7041847041847041,0.8341880341880342
0.21000000000000002,0.5741176470588235,0.9512670565302144,0.7160674981658107,0.8407994486560992
0.22000000000000003,0.5841346153846154,0.9473684210526315,0.7226765799256506,0.8425797503467406
0.23000000000000004,0.5878787878787879,0.9454191033138402,0.7249626307922272,0.8428919012860618
0.24000000000000005,0.5975308641975309,0.9434697855750487,0.7316704459561603,0.8455625436757512
0.25000000000000006,0.6233766233766234,0.935672514619883,0.7482462977396727,0.8504606661941885
0.26000000000000006,0.6397849462365591,0.9278752436647173,0.7573587907716786,0.8512160228898427
0.27,0.6441136671177267,0.9278752436647173,0.7603833865814696,0.8527409530634181
0.28,0.6565517241379311,0.9278752436647173,0.7689822294022617,0.8570399711919338
0.29000000000000004,0.6638655462184874,0.9239766081871345,0.7726161369193154,0.8568329718004338
0.30000000000000004,0.6829971181556196,0.9239766081871345,0.7854183927091963,0.8630735615440641
0.31000000000000005,0.6935483870967742,0.9220272904483431,0.7916317991631799,0.8650329188002926
0.32000000000000006,0.7049180327868853,0.9220272904483431,0.7989864864864865,0.8685273595299302
0.33,0.7254601226993865,0.9220272904483431,0.8120171673819743,0.8746301775147929
0.34,0.734375,0.9161793372319688,0.8152645273200347,0.8729569093610698
0.35000000000000003,0.7448494453248812,0.9161793372319688,0.8216783216783217,0.8758852031308237
0.36000000000000004,0.7581168831168831,0.9103313840155945,0.8272807794508414,0.8751874062968515
0.37000000000000005,0.7677100494233937,0.9083820662768031,0.8321428571428572,0.8762692741632192
0.38000000000000006,0.7759197324414716,0.9044834307992202,0.8352835283528353,0.8754716981132076
0.39000000000000007,0.7857142857142857,0.9005847953216374,0.8392370572207084,0.875
0.4000000000000001,0.791095890410959,0.9005847953216374,0.8422971741112124,0.8763277693474962
0.4100000000000001,0.8059964726631393,0.8908382066276803,0.8462962962962963,0.8724704085528828
0.42000000000000004,0.8142857142857143,0.8888888888888888,0.8499534016775396,0.8728943338437979
0.43000000000000005,0.8260869565217391,0.8888888888888888,0.856338028169014,0.8755760368663594
