feature,importance
Idle Max,0.2514314
Idle Mean,0.21764623
Bwd Packet Length Min,0.07662526
act_data_pkt_fwd,0.05318485
PSH Flag Count,0.050319374
Bwd Packet Length Std,0.040962264
Packet Length Std,0.030219706
Fwd Packet Length Max,0.029672928
Bwd Packet Length Mean,0.028347991
Bwd Header Length,0.027902823
Fwd Packet Length Mean,0.01974608
Flow Duration,0.013723117
Flow IAT Mean,0.013451192
Total Fwd Packets,0.012572469
Packet Length Variance,0.0116827
Fwd Header Length,0.01057051
Bwd IAT Min,0.010539621
ACK Flag Count,0.009361332
Fwd Packet Length Std,0.00860945
FIN Flag Count,0.007567853
Init_Win_bytes_backward,0.007128612
Bwd Packets/s,0.0067561725
Total Length of Fwd Packets,0.006197571
Max Packet Length,0.005563312
Flow IAT Max,0.005550518
Idle Min,0.004700988
Active Min,0.0039903247
Average Packet Size,0.0038073116
Fwd IAT Max,0.003722135
Min Packet Length,0.003101774
Packet Length Mean,0.0027368823
Bwd IAT Mean,0.002262916
min_seg_size_forward,0.0021404643
Flow Packets/s,0.0019302056
Bwd IAT Total,0.001910356
Active Max,0.0017170159
Flow Bytes/s,0.0017141729
Active Mean,0.0015363481
Init_Win_bytes_forward,0.0015327609
Fwd IAT Total,0.0013182095
Fwd IAT Mean,0.0012851247
Fwd IAT Min,0.0011327356
Flow IAT Min,0.000978781
Bwd Packet Length Max,0.00089645095
Bwd IAT Std,0.0008707024
Fwd Packet Length Min,0.0006605237
Bwd IAT Max,0.0002593995
Fwd IAT Std,0.0001549914
Fwd Packets/s,0.00015497474
Flow IAT Std,0.00015113527
Subflow Fwd Bytes,0.0
