held_out_host,n_train,n_test,n_test_positive,f1_05,f1_macro_optimal,best_threshold,roc_auc,avg_precision,f1_train_05,overfit_gap
NASHUA.dmevals.local,207,69,34,0.7088607594936709,0.6595151255095473,0.5082517583857861,0.6399159663865547,0.6449220623353322,1.0,0.2911392405063291
NEWYORK.dmevals.local,207,69,34,0.6410256410256411,0.7527924130663857,0.6633333333333333,0.7231092436974791,0.7253823354474574,1.0,0.3589743589743589
SCRANTON.dmevals.local,207,69,34,0.5357142857142857,0.7377533783783784,0.3996825396825397,0.7096638655462185,0.7608226464968335,1.0,0.4642857142857143
UTICA.dmevals.local,207,69,34,0.4482758620689655,0.623109243697479,0.45530306752915334,0.6378151260504201,0.7043256810581959,1.0,0.5517241379310345
